image_path,original_story,completed_story
/content/image/000000182212.jpg,"In a dark basement, there is a white","in a dark basement, there is a white toilet and a pile of wood"
/content/image/000000046267.jpg,"In a shiny bathroom, the walls sparkle like","in a shiny bathroom, the walls sparkle like mirrors"
/content/image/000000020619.jpg,There is a big table full of yummy,there is a big table full of yummy treats
/content/image/000000380338.jpg,Pink cakes and lollipops rest on white tables,pink cakes and lollipops rest on white tables
/content/image/000000544309.jpg,The cake is so colorful with chocolate and,the cake is so colorful with chocolate and sprinng
/content/image/000000448856.jpg,"In a funny bathroom, there are two shiny","in a funny bathroom, there are two shiny toilets"
/content/image/000000425520.jpg,"In a happy green bathroom, there are funny","in a happy green bathroom, there are funny monkeys"
/content/image/000000515809.jpg,The bathroom has a white toilet and a,the bathroom has a white toilet and a blue rug
/content/image/000000353651.jpg,"In a shiny bathroom, there is a big","in a shiny bathroom, there is a big white toilet"
/content/image/000000382669.jpg,"There's a man on a shiny, old motorcycle","there ' s a man on a shiny, old motorcycle"
/content/image/000000579002.jpg,There's a big building with a clock inside,there ' s a big building with a clock inside
/content/image/000000522365.jpg,The green bowl is on the table. It,the green bowl is on the table. it is on the table
/content/image/000000272269.jpg,"There is a big, yummy cake on a","there is a big, yummy cake on a table"
/content/image/000000274337.jpg,A big parade is happening! A police motorcycle,a big parade is happening! a police motorcycle
/content/image/000000428304.jpg,A fluffy cat is on a table. It,a fluffy cat is on a table. it is sitting on a bowl of fruit
/content/image/000000548661.jpg,The orange kitty sits on the table beside,the orange kitty sits on the table beside the bowl
/content/image/000000266165.jpg,The kitty is very funny. It stands in,the kitty is very funny. it stands in the bowl
/content/image/000000409092.jpg,The cat is eating its food. It's funny,the cat is eating its food. it ' s funny
/content/image/000000225060.jpg,A young man is sitting in a small,a young man is sitting in a small cubic
/content/image/000000502326.jpg,"The toilet has a big, round light above","the toilet has a big, round light above it"
/content/image/000000329546.jpg,"In a tiny bathroom, there is a white","in a tiny bathroom, there is a white toilet"
/content/image/000000481120.jpg,There are tiny green beads and nuts inside,there are tiny green beads and nuts inside of a wooden box
/content/image/000000464965.jpg,A man sits at his desk with a,a man sits at his desk with a hot dog in his hand
/content/image/000000424604.jpg,"The bowl has yummy fruit like apples, bananas,","the bowl has yummy fruit like apples, bananas, and bananas"
/content/image/000000512644.jpg,"In a big parking lot, two cool motorbikes","in a big parking lot, two cool motorbikes are parked"
