,Partial,Complete
0,"In a dark basement, there is a white","<start> In a dark basement, there is a white bathroom. The bathroom is bright and shiny. It looks like a fun place to play!<pad>"
1,"In a shiny bathroom, the walls sparkle like","<start> In a shiny bathroom, the walls sparkle like stars. There’s a big white tub nearby, and a sink sparkles nearby. It feels like a fun place to splash and play!<pad>"
2,"There is a big table full of yummy,","<start> There is a big table full of yummy food! There are shiny plates with colorful veggies, and tasty meat. It looks like a fun place to eat!<pad>"
3,"Pink cakes and lollipops rest on white tables,","<start> Pink cakes and lollipops rest on white tables. The cake has a shiny candle on top, and the candles are so yummy! It’s like a fun party for the cake!<pad>"
4,"The cake is so colorful with chocolate and,",<start> The cake is so colorful with chocolate and yummy fruit. It has a soft bread and a shiny toaster. I want to eat it all!<pad>
5,"In a funny bathroom, there are two shiny","<start> In a funny bathroom, there are two shiny sinks. They sit on a sink, all ready for a place to splash and play. It’s like a secret place to splash and play!<pad>"
6,"In a happy green bathroom, there are funny","<start> In a happy green bathroom, there are funny wooden beans. They sit on a shiny toilet that looks like a secret place. It’s a silly place to splash and play!<pad>"
7,"The bathroom has a white toilet and a,","<start> The bathroom has a white toilet and a shiny sink. The walls are bright yellow, and there are cool sinks and a special sink. It feels like a fun place to splash and play!<pad>"
8,"In a shiny bathroom, there is a big","<start> In a shiny bathroom, there is a big tub and a sink. The walls are bright and green, and there are soft towels and a shower too! It feels like a secret place waiting to be used!<pad>"
9,"There's a man on a shiny, old motorcycle","<start> There's a man on a shiny, old motorcycle. They stand together like friends waiting for a fun ride. The street is busy with cars and people.<pad>"
10,"There's a big building with a clock inside,","<start> There's a big building with a clock inside. The clock is shining bright, and the clock is so black and white. The clock tells time for everyone the time.<pad>"
11,"The green bowl is on the table. It,",<start> The green bowl is on the table. It has a big basket of yummy fruit and crunchy veggies. The broccoli looks so tasty and fun!<pad>
12,"There is a big, yummy cake on a","<start> There is a big, yummy cake on a plate. It has a soft bread and a shiny candle on top. It looks so sweet and fun!<pad>"
13,"A big parade is happening! A police motorcycle,",<start> A big parade is happening! A police motorcycle is parked by a tall building. The street is full of life and a colorful bike nearby!<pad>
14,"A fluffy cat is on a table. It,",<start> A fluffy cat is on a table. It has a shiny laptop on it. The cat looks curious and a little screen!<pad>
15,"The orange kitty sits on the table beside,","<start> The orange kitty sits on the table beside the store. It has a shiny glass of wine and a cozy bed. The kitchen is nearby, ready for fun!<pad>"
16,"The kitty is very funny. It stands in,",<start> The kitty is very funny. It stands in a big place with a shiny camera. The kitchen is ready for a special party!<pad>
17,"The cat is eating its food. It's funny,","<start> The cat is eating its food. It's funny and sits on the sidewalk, looking at the camera. The cat seems curious about the cat with a big smile!<pad>"
18,"A young man is sitting in a small,",<start> A young man is sitting in a small boat. He looks at the big blue ocean and the water sparkles. It’s like a fun party!<pad>
19,"The toilet has a big, round light above","<start> The toilet has a big, round light above the side. It says 'E Mario St.' The sign says 'Stop Street St.' It makes me wonder what it sees!<pad>"
20,"In a tiny bathroom, there is a white","<start> In a tiny bathroom, there is a white toilet and a shiny sink. The sink is a little mirror, and the counters are waiting. It feels like a fun place to splash and play!<pad>"
21,"There are tiny green beads and nuts inside,",<start> There are tiny green beads and nuts inside. They sit on a big table with some books. The bears look so cute and cute!<pad>
22,"A man sits at his desk with a,",<start> A man sits at his desk with a shiny laptop. He looks at the screen where people walk by. It’s like a fun place to play!<pad>
23,"The bowl has yummy fruit like apples, bananas,","<start> The bowl has yummy fruit like apples, bananas, and bright oranges. There are also bright orange carrots and green broccoli too! It looks so tasty and fun to eat!<pad>"
24,"In a big parking lot, two cool motorbikes","<start> In a big parking lot, two cool motorbikes stand together. They look like they are waiting for a fun ride. The street is busy with cars and a big bus are nearby!<pad>"
