,Partial,Complete
0,"In a dark basement, there is a white","<start> In a dark basement, there is a white toilet sitting on a wooden platform. The toilet is surrounded by a pile of rubble and debris.<pad>"
1,"In a shiny bathroom, the walls sparkle like","<start> In a shiny bathroom, the walls sparkle like diamonds, and the floor is made of glass. In the middle of the room, there is a<pad>"
2,There is a big table full of yummy,"<start> There is a big table full of yummy treats, including cakes, cookies, and cupcakes.<pad>"
3,Pink cakes and lollipops rest on white tables,<start> Pink cakes and lollipops rest on white tables at a children's birthday party.<pad>
4,The cake is so colorful with chocolate and,<start> The cake is so colorful with chocolate and sprinkles.<pad>
5,"In a funny bathroom, there are two shiny","<start> In a funny bathroom, there are two shiny white toilets, one on the left and the other in the middle of the room.<pad>"
6,"In a happy green bathroom, there are funny","<start> In a happy green bathroom, there are funny monkeys on the shower curtain.<pad>"
7,The bathroom has a white toilet and a,<start> The bathroom has a white toilet and a sink with a mirror above it. There is a blue towel on the floor next to the toilet.<pad>
8,"In a shiny bathroom, there is a big","<start> In a shiny bathroom, there is a big white toilet in the corner of the room.<pad>"
9,"There's a man on a shiny, old motorcycle","<start> There's a man on a shiny, old motorcycle with a sidecar. He is wearing a suit and a tie.<pad>"
10,There's a big building with a clock inside,"<start> There's a big building with a clock inside of it. The clock is on the side of the building, and there is a white tarp covering<pad>"
11,The green bowl is on the table. It,<start> The green bowl is on the table. It is filled with a large amount of broccoli.<pad>
12,"There is a big, yummy cake on a","<start> There is a big, yummy cake on a silver platter with blue and white frosting.<pad>"
13,A big parade is happening! A police motorcycle,<start> A big parade is happening! A police motorcycle and a police car are driving down the street. The police officer on the motorcycle is waving to the<pad>
14,A fluffy cat is on a table. It,"<start> A fluffy cat is on a table. It is sitting next to a bowl of fruit. There are bananas, apples, and oranges in the bowl.<pad>"
15,The orange kitty sits on the table beside,<start> The orange kitty sits on the table beside a bowl.<pad>
16,The kitty is very funny. It stands in,<start> The kitty is very funny. It stands in front of the food bowls and tries to eat from one of them.<pad>
17,The cat is eating its food. It's funny,<start> The cat is eating its food. It's funny to see a cat eating from a bowl.<pad>
18,A young man is sitting in a small,"<start> A young man is sitting in a small office cubicle, smiling at the camera. He is holding a computer mouse in his right hand, and<pad>"
19,"The toilet has a big, round light above","<start> The toilet has a big, round light above it.<pad>"
20,"In a tiny bathroom, there is a white","<start> In a tiny bathroom, there is a white toilet in the corner with a broken toilet paper roll on the floor next to it.<pad>"
21,There are tiny green beads and nuts inside,"<start> There are tiny green beads and nuts inside a wooden box, along with a pair of scissors and a cup.<pad>"
22,A man sits at his desk with a,<start> A man sits at his desk with a foil-wrapped hot dog in his hand.<pad>
23,"The bowl has yummy fruit like apples, bananas,","<start> The bowl has yummy fruit like apples, bananas, and oranges in it. The cat is standing on the table and looking into the bowl.<pad>"
24,"In a big parking lot, two cool motorbikes","<start> In a big parking lot, two cool motorbikes are parked next to each other.<pad>"
