,Partial,Complete
0,"In a dark basement, there is a white toilet sitting on some steps. Around it, there are broken boards","<start>In a dark basement, there is a white toilet sitting on some steps. Around it, there are broken boards with bright colors and shiny black colors. The basket looks so cool and fun! There are some boats and a big building that sparkles in the light. The basket is so big and fluffy, like a giant blanket. I wonder what fun things are inside the bathroom!<pad>"
1,"In a shiny bathroom, the walls sparkle like magic! There’s a big tree next to a toilet, and plants","<start>In a shiny bathroom, the walls sparkle like magic! There’s a big tree next to a toilet, and plants are sitting on the wall. The tree is also a small trash can waiting to be used. The traffic light hangs from the sink, making the room feel cozy. The walls are clean and shiny, like a little secret place. It’s a special place where you can wash your hands and see your hands all around!<pad>"
2,"There is a big table full of yummy treats! There are cookies, cakes, and colorful candies all together.","<start>There is a big table full of yummy treats! There are cookies, cakes, and colorful candies all together. Some candles are shiny and some are small, and they look so sweet. The table is full of colorful veggies, and they smell so good! I can almost smell the deliciousness. I want to eat them all and share with my friends! It feels like a fun party with friends and family.<pad>"
3,Pink cakes and lollipops rest on white tables and pink plates. Cake slices have forks beside them.,"<start>Pink cakes and lollipops rest on white tables and pink plates. Cake slices have forks beside them. They are all shiny and colorful, like a rainbow! Some are small, and some are small, and some are small. The tables are all different colors, like red, blue, and yellow. It feels like a happy party with lots of yummy food! I can’t wait to eat and share with friends!<pad>"
4,The cake is so colorful with chocolate and white frosting. It has cute polka dots and sprinkles on,"<start>The cake is so colorful with chocolate and white frosting. It has cute polka dots and sprinkles on top. The doors open wide, like a little bird flying in the sky. The cake is so big and sweet, and it looks so sweet! I can almost smell the sweet frosting. I want to pick the cake and see the cake and the cake together! It makes me want to eat it all up!<pad>"
5,"In a funny bathroom, there are two shiny toilets side by side. The floor is like a big","<start>In a funny bathroom, there are two shiny toilets side by side. The floor is like a big, soft blanket because it is all messy with soft towels. The toilets are sitting on a shelf, looking a little sad. There is a sink where water splashes and a big mirror that shows my happy face. The bathroom feels like a secret place where you can wash your hands. It’s a silly place where you can splash and play!<pad>"
6,"In a happy green bathroom, there are funny monkeys on the curtain. A shiny sink and a little toilet","<start>In a happy green bathroom, there are funny monkeys on the curtain. A shiny sink and a little toilet sit on the floor, ready to use it. The walls are all white, making the room feel cozy. There is a soft bed where you can splash and play with your hands. The floor is made of smooth wood, and it feels like a special place where you can wash your hands. It’s a silly place where you can splash and play!<pad>"
7,"The bathroom has a white toilet and a tall sink. There's also a shower, but the walls look like","<start>The bathroom has a white toilet and a tall sink. There's also a shower, but the walls look like a shiny silver tower. The sink is special because it has a soft white sink that sparkles when it is all snuggled up. The walls are clean and shiny, making the room feel cozy. I wonder what stories the toilet can could tell. Maybe it’s a special place for a fun adventure!<pad>"
8,"In a shiny bathroom, there is a big toilet bowl sitting on the floor. A tall stall has a","<start>In a shiny bathroom, there is a big toilet bowl sitting on the floor. A tall stall has a shiny sink where you can wash your hands. The walls are made of smooth wood, and there are some cool things that look like little towers. The walls are a little messy, but the toilet stands proudly in the corner. There is a special sink where water can wash your hands. This bathroom feels like a special place where you can wash your hands and look at the sink them!<pad>"
9,"There's a man on a shiny, old motorcycle. He wears a long coat and sits very still. The picture","<start>There's a man on a shiny, old motorcycle. He wears a long coat and sits very still. The picture is black and white, and it looks like a superhero for a long time. The motorcycle is bright and colorful, like a rainbow! The motorcycle is parked nearby, and it makes the motorcycle look special. I wonder where he is going and what fun things he will do next!<pad>"
