image_path,original_story,completed_story
/content/image/000000182212.jpg,"In a dark basement, there is a white toilet sitting on some steps. Around it, there are broken boards","in a dark basement, there is a white toilet sitting on some steps. around it, there are broken boards and debris"
/content/image/000000046267.jpg,"In a shiny bathroom, the walls sparkle like magic! There’s a big tree next to a toilet, and plants","in a shiny bathroom, the walls sparkle like magic! there ’ s a big tree next to a toilet, and plants"
/content/image/000000020619.jpg,"There is a big table full of yummy treats! There are cookies, cakes, and colorful candies all together.","there is a big table full of yummy treats! there are cookies, cakes, and colorful candies all together."
/content/image/000000380338.jpg,Pink cakes and lollipops rest on white tables and pink plates. Cake slices have forks beside them.,pink cakes and lollipops rest on white tables and pink plates. cake slices have forks beside them.s are on a white table
/content/image/000000544309.jpg,The cake is so colorful with chocolate and white frosting. It has cute polka dots and sprinkles on,the cake is so colorful with chocolate and white frosting. it has cute polka dots and sprinkles on it
/content/image/000000448856.jpg,"In a funny bathroom, there are two shiny toilets side by side. The floor is like a big","in a funny bathroom, there are two shiny toilets side by side. the floor is like a big checker"
/content/image/000000425520.jpg,"In a happy green bathroom, there are funny monkeys on the curtain. A shiny sink and a little toilet","in a happy green bathroom, there are funny monkeys on the curtain. a shiny sink and a little toilet"
/content/image/000000515809.jpg,"The bathroom has a white toilet and a tall sink. There's also a shower, but the walls look like","the bathroom has a white toilet and a tall sink. there ' s also a shower, but the walls look like this"
/content/image/000000353651.jpg,"In a shiny bathroom, there is a big toilet bowl sitting on the floor. A tall stall has a","in a shiny bathroom, there is a big toilet bowl sitting on the floor. a tall stall has a toilet in the stall"
/content/image/000000382669.jpg,"There's a man on a shiny, old motorcycle. He wears a long coat and sits very still. The picture","there ' s a man on a shiny, old motorcycle. he wears a long coat and sits very still. the picture is black and white"
/content/image/000000579002.jpg,There's a big building with a clock inside that's tall and pointy. The church has a tall tower that,there ' s a big building with a clock inside that ' s tall and pointy. the church has a tall tower that ' s a
/content/image/000000522365.jpg,The green bowl is on the table. It is full of little trees called broccoli. Some broccoli is green,the green bowl is on the table. it is full of little trees called broccoli. some broccoli is green
/content/image/000000272269.jpg,"There is a big, yummy cake on a shiny silver plate. It has white frosting and blue sprinkles in","there is a big, yummy cake on a shiny silver plate. it has white frosting and blue sprinkles in the cake"
/content/image/000000274337.jpg,A big parade is happening! A police motorcycle zooms by with a shiny car behind it. People are watching,a big parade is happening! a police motorcycle zooms by with a shiny car behind it. people are watching
/content/image/000000428304.jpg,"A fluffy cat is on a table. It leans over a shiny fish bowl, looking at the fish swimming","a fluffy cat is on a table. it leans over a shiny fish bowl, looking at the fish swimming in the bowl"
/content/image/000000548661.jpg,"The orange kitty sits on the table beside a bright bowl. It lays on the table, looking cozy and","the orange kitty sits on the table beside a bright bowl. it lays on the table, looking cozy and relaxing"
/content/image/000000266165.jpg,The kitty is very funny. It stands in an empty bowl while munching from another one. The dishes are,the kitty is very funny. it stands in an empty bowl while munching from another one. the dishes are in
/content/image/000000409092.jpg,The cat is eating its food. It's funny because it's standing inside a bowl while munching. The cat,the cat is eating its food. it ' s funny because it ' s standing inside a bowl while munching. the cat is eating
/content/image/000000225060.jpg,A young man is sitting in a small room with a computer. He wears a cozy sweatshirt and looks,a young man is sitting in a small room with a computer. he wears a cozy sweatshirt and looks at the camera
/content/image/000000502326.jpg,"The toilet has a big, round light above it. Sunlight comes in from a round window in the wall.","the toilet has a big, round light above it. sunlight comes in from a round window in the wall."
/content/image/000000329546.jpg,"In a tiny bathroom, there is a white toilet. The roof is slanted, and a bright window lets in","in a tiny bathroom, there is a white toilet. the roof is slanted, and a bright window lets in"
/content/image/000000481120.jpg,There are tiny green beads and nuts inside bamboo pieces. I see scissors next to brussel sprouts and shiny,there are tiny green beads and nuts inside bamboo pieces. i see scissors next to brussel sprouts and shiny
/content/image/000000464965.jpg,"A man sits at his desk with a big, yummy hotdog. He's wearing a blue shirt and working on","a man sits at his desk with a big, yummy hotdog. he ' s wearing a blue shirt and working on a computer"
/content/image/000000424604.jpg,"The bowl has yummy fruit like apples, bananas, and oranges. It's sitting on the wooden table. The blue plate","the bowl has yummy fruit like apples, bananas, and oranges. it ' s sitting on the wooden table. the blue plate is"
/content/image/000000512644.jpg,"In a big parking lot, two cool motorbikes sit next to a shiny car. One bike is blue with","in a big parking lot, two cool motorbikes sit next to a shiny car. one bike is blue with a red and yellow stripe"
