image_id,captions,LongDesc
391895,"['A man with a red helmet on a small moped on a dirt road. ', 'Man riding a motor bike on a dirt road on the countryside.', 'A man riding on the back of a motorcycle.', 'A dirt path with a young person on a motor bike rests to the foreground of a verdant area with a bridge and a background of cloud-wreathed mountains. ', 'A man in a red shirt and a red hat is on a motorcycle on a hill side.']","There is a man wearing a bright red helmet, zooming on a small moped down a bumpy dirt road. The road is surrounded by green trees and tall grass, making it feel like a secret adventure. He rides fast, feeling the wind on his face. In the distance, there are big, fluffy clouds covering the mountains. The man is wearing a red shirt that matches his helmet, and he looks very happy. It’s like he is exploring a magical place!"
522418,"['A woman wearing a net on her head cutting a cake. ', 'A woman cutting a large white sheet cake.', 'A woman wearing a hair net cutting a large sheet cake.', 'there is a woman that is cutting a white cake', ""A woman marking a cake with the back of a chef's knife. ""]","In a bright kitchen, a lady with a funny net on her head is busy cutting a big white cake. The cake is so bright and smooth, like fluffy clouds! She takes a sharp knife and carefully makes little lines on the cake, making it look fancy. The yummy smell fills the room, making everyone feel happy. It’s fun to watch her work, and I can’t wait to eat a piece! The cake looks like it has a story to tell."
184613,"['A child holding a flowered umbrella and petting a yak.', 'A young man holding an umbrella next to a herd of cattle.', 'a young boy barefoot holding an umbrella touching the horn of a cow', 'A young boy with an umbrella who is touching the horn of a cow.', 'A boy holding an umbrella while standing next to livestock.']","There is a happy boy with a bright umbrella. He is standing near some big cows and a fluffy yak. The boy is barefoot, feeling the soft grass under his feet. He gently touches the horn of a cow, and it feels smooth. The cows are munching on grass, and the yak looks very friendly. The umbrella has pretty flowers, making everything look colorful and fun!"
318219,"['A young boy standing in front of a computer keyboard.', 'a little boy wearing headphones and looking at a computer monitor', 'He is listening intently to the computer at school.', 'A young boy stares up at the computer monitor.', 'a young kid with head phones on using a computer ']","There is a little boy at school sitting in front of a big keyboard. He wears headphones that cover his ears, and they look so comfy. He stares at the computer screen, his eyes wide like he’s learning something amazing. The computer is making sounds, and he listens super carefully. His head tilts a little, like he's trying to hear every single word. The whole room feels quiet, but his thoughts look so busy!"
554625,"['a boy wearing headphones using one computer in a long row of computers', 'A little boy with earphones on listening to something.', 'A group of people sitting at desk using computers.', 'Children sitting at computer stations on a long table.', 'A small child wearing headphones plays on the computer.']","In a big room, there are many computers lined up like a train. A little boy sits at one computer, wearing big headphones. He is listening to something fun and exciting! Around him, other kids are also at their desks, using their computers. Everyone is busy and happy, making cool things on the screens. The boy smiles as he plays, feeling like a superhero in a world of games and stories!"
574769,"['A woman in a room with a cat.', 'A girl smiles as she holds a cat and wears a brightly colored skirt.', 'a woman is holding a cat in her kitchen', 'A woman is working in a kitchen carrying a soft toy.', 'A woman is holding a cat in her kitchen.']","The lady is in the kitchen, and it looks cozy with light all around. She is holding a fluffy cat, and it looks so soft, like a cloud. Her skirt has lots of bright colors, like a rainbow swirled on it. The cat sits calmly in her arms, like it’s enjoying a quiet nap. Everything feels warm, like they are happy to be together in the room. It’s like a secret little moment just for them."
60623,"['A young girl inhales with the intent of blowing out a candle. ', 'A young girl is preparing to blow out her candle.', 'A kid is to blow out the single candle in a bowl of birthday goodness. ', 'Girl blowing out the candle on an ice-cream ', 'A little girl is getting ready to blow out a candle on a small dessert.']","The little girl sits at the table, her eyes all big and sparkly. In front of her is a tiny dessert with just one little candle glowing. She takes a deep breath, like she’s about to make the biggest wish ever. The flame wiggles softly, waiting. Her cheeks puff up like a balloon as she gets ready to blow. Magic feels super close, like her wish might float into the air any second."
309022,"['A commercial stainless kitchen with a pot of food cooking. ', 'Some food sits in a pot in a kitchen. ', 'A kitchen has all stainless steel appliances and counters.', 'a kitchen with a sink and many cooking machines and a pot of food', 'Food cooks in a pot on a stove in a kitchen.']","In a shiny kitchen, there is a big pot bubbling with yummy food. The pot sits on a bright stove, making everything warm. All around, there are shiny machines that help cook. The counters are just as sparkly as the appliances. There is a big sink where you can wash things. The smell of the food makes me feel happy and hungry! This kitchen is a magical place where tasty meals come to life."
5802,"['Two men wearing aprons working in a commercial-style kitchen.', 'Chefs preparing food in a professional metallic style kitchen.', 'Two people standing around in a large kitchen.', 'A commercial kitchen with two men working to prepare several plates.', 'two men in white shirts in a large steel kitchen']","In a big, shiny kitchen, two men with yellow aprons are making yummy food. They are standing in front of lots of counters and cabinets. Their hands are busy chopping, mixing, and stirring. We can see them smiling and laughing as they work. Together, they are making plates of delicious meals for lots of people to enjoy!"
222564,"['Two chefs in a restaurant kitchen preparing food. ', 'Two cooks are cooking the food someone ordered at this restaurant', 'The chef is cooking with pans on the stove next to an oven. ', 'Two men that are standing in a kitchen.', 'Two cooks are near the stove in a stainless steel kitchen.']","In a busy kitchen, two chefs are working hard. They are cooking yummy food for people who come to eat. One chef is using a big pan on the stove. The other chef is next to him, also making something special. The kitchen is shiny and silver, with lots of pots and pans. It smells really good, and I wonder what they are making! I can’t wait to taste their food!"
