Partial Story,Completed Story
"In a dark basement, there is a white","<start> In a dark basement, there is a white frisbee with a big bag. The basket is full of yummy food and drinks are waiting. It feels like a fun party!<pad>"
"In a shiny bathroom, the walls sparkle like","<start> In a shiny bathroom, the walls sparkle like the sky. There’s a big mirror that makes me smile. The walls are soft and white, making it feel cozy!<pad>"
There is a big table full of yummy,<start> There is a big table full of yummy food! There are colorful fruits and vegetables on top. It looks like a fun party for my tummy!<pad>
Pink cakes and lollipops rest on white tables,<start> Pink cakes and lollipops rest on white tables. They are all different shapes and sizes. It’s like a tiny adventure is waiting to be eaten!<pad>
The cake is so colorful with chocolate and,<start> The cake is so colorful with chocolate and shiny candles. There are so many cans and a big candle on top. It looks like a fun party!<pad>
"In a funny bathroom, there are two shiny","<start> In a funny bathroom, there are two shiny toilets! They are ready to help kids need to eat yummy food. It’s like a special place for books!<pad>"
"In a happy green bathroom, there are funny","<start> In a happy green bathroom, there are funny toilets! They are all different colors and shapes. It looks like a secret place for girls!<pad>"
The bathroom has a white toilet and a,<start> The bathroom has a white toilet and a shiny sink. The walls are bright and full of colorful tiles. There’s also a sink and a toilet too!<pad>
"In a shiny bathroom, there is a big","<start> In a shiny bathroom, there is a big tub for splashes and a little mane. The walls are soft and white, making it feel cozy. It’s like a fun place to splash and play!<pad>"
"There's a man on a shiny, old motorcycle","<start> There's a man on a shiny, old motorcycle. He wears a cool helmet and smiles big. He looks ready to zoom away!<pad>"
There's a big building with a clock inside,"<start> There's a big building with a clock inside. The clock tells time for everyone. It stands tall in the city, watching over the streets.<pad>"
The green bowl is on the table. It,<start> The green bowl is on the table. It has yummy beans and bright colors like red anbanas. The broccoli looks so tasty and fun!<pad>
"There is a big, yummy cake on a","<start> There is a big, yummy cake on a table! There are shiny chocolate cakes and a shiny fork all over it. It looks like a fun party is about to eat!<pad>"
A big parade is happening! A police motorcycle,"<start> A big parade is happening! A police motorcycle shines in the airplane, and a man is waiting for its turn. The sky is bright and blue!<pad>"
A fluffy cat is on a table. It,<start> A fluffy cat is on a table. It looks so cozy next to a big TV! The cat is watching the world outside.<pad>
The orange kitty sits on the table beside,<start> The orange kitty sits on the table beside it. There are shiny candles and a big candle on top. The cabinets look funny and cozy!<pad>
The kitty is very funny. It stands in,"<start> The kitty is very funny. It stands in the woods, like a big fridge and stories. The cabinet is cozy and sleepy, waiting for adventures!<pad>"
The cat is eating its food. It's funny,<start> The cat is eating its food. It's funny and sitting on the counter. The cat looks so happy and curious!<pad>
A young man is sitting in a small,<start> A young man is sitting in a small chair. He has a big box of shiny green bags and a picture. He looks happy and ready for a fun time!<pad>
"The toilet has a big, round light above","<start> The toilet has a big, round light above it. There are two boxes of shiny buttons all around. A soft tower is nearby, too!<pad>"
"In a tiny bathroom, there is a white","<start> In a tiny bathroom, there is a white toilet and a big tub. The toilet is also sitting on a shiny toilet. It feels like a fun place to splash!<pad>"
There are tiny green beads and nuts inside,<start> There are tiny green beads and nuts inside. They are all together on a big black chair. The bed is cozy and warm!<pad>
A man sits at his desk with a,<start> A man sits at his desk with a big computer and a little kid. The desk is full of fun things to show the computer donuts!<pad>
"The bowl has yummy fruit like apples, bananas,","<start> The bowl has yummy fruit like apples, bananas, and bright oranges. There are also a big brown bananas on the table. It looks like a fun meal!<pad>"
"In a big parking lot, two cool motorbikes","<start> In a big parking lot, two cool motorbikes stand tall on the sidewalk. They look like friends waiting for a friend to go on an adventure! The big building stands tall at the bright sky.<pad>"
