image_id,captions,ShortDesc
391895,"['A man with a red helmet on a small moped on a dirt road. ', 'Man riding a motor bike on a dirt road on the countryside.', 'A man riding on the back of a motorcycle.', 'A dirt path with a young person on a motor bike rests to the foreground of a verdant area with a bridge and a background of cloud-wreathed mountains. ', 'A man in a red shirt and a red hat is on a motorcycle on a hill side.']",A man in a red helmet zooms on his little bike down a bumpy dirt road. The green hills and big mountains look so pretty! He rides fast and feels free like a bird!
522418,"['A woman wearing a net on her head cutting a cake. ', 'A woman cutting a large white sheet cake.', 'A woman wearing a hair net cutting a large sheet cake.', 'there is a woman that is cutting a white cake', ""A woman marking a cake with the back of a chef's knife. ""]","A lady in a funny net on her head is slicing a big white cake. She smiles as she makes pretty lines on it with a shiny knife. The cake looks so yummy, like a soft cloud!"
184613,"['A child holding a flowered umbrella and petting a yak.', 'A young man holding an umbrella next to a herd of cattle.', 'a young boy barefoot holding an umbrella touching the horn of a cow', 'A young boy with an umbrella who is touching the horn of a cow.', 'A boy holding an umbrella while standing next to livestock.']","A little boy stands with a bright umbrella. He gently touches a cow's horn while happy cows and yaks are nearby. The sun shines, and everything feels fun!"
318219,"['A young boy standing in front of a computer keyboard.', 'a little boy wearing headphones and looking at a computer monitor', 'He is listening intently to the computer at school.', 'A young boy stares up at the computer monitor.', 'a young kid with head phones on using a computer ']","A little boy sits in front of a glowing computer. He wears big headphones and looks closely at the screen. He is listening to something special, almost like magic!"
60623,"['A young girl inhales with the intent of blowing out a candle. ', 'A young girl is preparing to blow out her candle.', 'A kid is to blow out the single candle in a bowl of birthday goodness. ', 'Girl blowing out the candle on an ice-cream ', 'A little girl is getting ready to blow out a candle on a small dessert.']","The girl takes a big breath and feels excited. She has a yummy ice cream with a bright candle. It’s her special day, and she is ready to make a wish!"
309022,"['A commercial stainless kitchen with a pot of food cooking. ', 'Some food sits in a pot in a kitchen. ', 'A kitchen has all stainless steel appliances and counters.', 'a kitchen with a sink and many cooking machines and a pot of food', 'Food cooks in a pot on a stove in a kitchen.']","In a shiny kitchen, a big pot is bubbling with yummy food. There are cool machines and a shiny sink all around. It smells so good!"
5802,"['Two men wearing aprons working in a commercial-style kitchen.', 'Chefs preparing food in a professional metallic style kitchen.', 'Two people standing around in a large kitchen.', 'A commercial kitchen with two men working to prepare several plates.', 'two men in white shirts in a large steel kitchen']","In a big shiny kitchen, two men in white shirts are cooking. They wear aprons and make yummy food on shiny plates. It looks like a fun place to cook!"
118113,"['this is a very dark picture of a room with a shelf', 'a cluttered room with a table and shelf on the wall.', 'A view of a messy room, with shelves on the wall.', 'A dark and cluttered storage area with wood walls.', 'A dim lit room consisting of many objects put together. ']","In a dark room, there are many things everywhere! Shelves are full of toys and books. It feels like a secret place full of surprises!"
193271,"['A kitchen filled with black appliances and lots of counter top space.', 'some brown cabinets a black oven a tea kettle and a microwave', 'A small kitchen with glass and wooden cabinets.', 'A modern style kitchen filled with may different items.', 'A kitchen with wooden cabinets and black appliances.']","In a shiny kitchen, there are black machines that cook yummy food. Brown cabinets hold special things, and a kettle sits on the stove. It feels cozy and fun!"
224736,"['A professional kitchen filled with sinks and appliances.', 'A kitchen area with toilet and various cleaning appliances.', 'A commercial dish washing station with a toilet in it.', 'A toilet and mop bucket in a kitchen.', 'A cluttered room with a sink, a toilet and in industrial mop bucket.']","In a big kitchen, there are shiny sinks and fancy machines. I see a toilet and a big mop bucket in one corner. It's like a clean place where everyone gets ready to cook and wash!"
483108,"['A man on a bicycle riding next to a train', 'A person is riding a bicycle but there is a train in the background.', 'a red and white train and a man riding a bicycle', 'a guy that is riding his bike next to a train', 'A man riding a bike past a train traveling along tracks.']",A man is riding his bike beside a big red and white train. The train goes chugging along the tracks. It looks like a fun race!
374628,"['A kitchen with wood floors and lots of furniture.', 'A beautiful, open kitchen and dining room area features an island in the center and wood cabinets and large windows.', 'A kitchen made of mostly wood with a small desk with a laptop.', 'A very spacious room with a kitchen and dining area.', 'A full view of an open kitchen and dining area.']","The kitchen is big and bright! There are shiny wood floors and lots of pretty furniture. An island sits in the middle, perfect for yummy cooking!"
328757,"['A woman eating vegetables in front of a stove.', 'A woman forks vegetables out of a bowl into her mouth. ', 'Woman eating an assortment of mixed vegetables in a bowl.', 'A young woman standing in a kitchen eats a plate of vegetables.', 'A woman eating fresh vegetables from a bowl.']","In the kitchen, a woman happily munches on colorful vegetables. She takes bright green broccoli and crunchy carrots from a big bowl. Yummy! "
384213,"['A kitchen is shown with a variety of items on the counters.', 'A kitchen has the windows open and plaid curtains.', 'A kitchen with two windows and two metal sinks.', 'An older kitchen with cluttered counter tops but empty sink.', 'Glasses and bottles are placed near a kitchen sink.']","The kitchen is bright and busy! There are colorful bottles and glasses on the counter. Sunlight peeks through the open windows, making the room feel warm and cozy!"
293802,"['A boy performing a kickflip on his skateboard on a city street.', 'A man is doing a trick on a skateboard', 'A guy jumps in the air with his skateboard beneath him.', 'Man in all black doing a trick on his skateboard.', 'A skateboarder flipping his board on a street.']",A boy on a skateboard flies high in the air! He flips his board like a bird. The city streets are cool and fun for tricks!
86408,"['A kitchen with a stove, microwave and refrigerator.', 'A refrigerator, oven and microwave sitting in a kitchen.', 'The kitchenette uses  small space to great efficiency.', 'an image of a kitchen setting with black appliances', 'A kitchen with cabinets, a stove, microwave and refrigerator.']","In a cozy kitchen, there's a shiny stove, a cool microwave, and a big refrigerator. The cabinets hold all kinds of fun things to cook. This little kitchen makes yummy meals!"
372938,"['A group of people riding on the back of a loaded red pickup truck.', 'A truck with a number of people and things in the back', 'Men are crowded on the back of a small overloaded pickup truck.', 'An old pick up truck over loaded with people and cargo.', 'A truck carries a large amount of items and a few people.']","A big red truck zooms down the road, full of happy people and cool stuff. The men laugh and wave as they bounce around. It looks like an exciting adventure!"
