,Partial,Complete
0,"In a dark basement, there is a white","<start> In a dark basement, there is a white toilet and a shiny sink. The sink is so cool and smile and some are standing together. It feels like a fun place to play!<pad>"
1,"In a shiny bathroom, the walls sparkle like","<start> In a shiny bathroom, the walls sparkle like a big bowl. The sign stands tall and some are standing together. It feels like a fun place to wash to go!<pad>"
2,There is a big table full of yummy,<start> There is a big table full of yummy food! They are so colorful fruits and some are smiling. They are all so happy and ready to eat!<pad>
3,Pink cakes and lollipops rest on white tables,"<start> Pink cakes and lollipops rest on white tables. They stand together in the sky, like a big book and smile. It looks like a fun place to play!<pad>"
4,The cake is so colorful with chocolate and,<start> The cake is so colorful with chocolate and some big bags. The sign stands tall and stand tall around them. It looks like a fun place to play!<pad>
5,"In a funny bathroom, there are two shiny","<start> In a funny bathroom, there are two shiny sinks. They stand together in the sky, like a big busy street. The sun shines bright and fun!<pad>"
6,"In a happy green bathroom, there are funny","<start> In a happy green bathroom, there are funny streets. They sit on the sidewalk and some trees are standing together. It feels like a fun place to wash the carot is nearby!<pad>"
7,The bathroom has a white toilet and a,"<start> The bathroom has a white toilet and a big sink. They are standing together, like a big bird flying on the sidewalk. It looks like a fun place to play!<pad>"
8,"In a shiny bathroom, there is a big","<start> In a shiny bathroom, there is a big bridge. They are standing together, like a big blue busy street. The sun shines bright and smile!<pad>"
9,"There's a man on a shiny, old motorcycle","<start> There's a man on a shiny, old motorcycle. They are standing together, like a big bird with their skis. The sun shines bright and smile!<pad>"
10,There's a big building with a clock inside,"<start> There's a big building with a clock inside. They are standing together, like a big bird flying and some busy. The sun shines bright and fun!<pad>"
11,The green bowl is on the table. It,<start> The green bowl is on the table. It has a shiny sink and stands tall and stands tall around. The sun shines bright and smile!<pad>
12,"There is a big, yummy cake on a","<start> There is a big, yummy cake on a big boat. They are standing together, like a big bird with their soft green grass. It looks like a fun place to play!<pad>"
13,A big parade is happening! A police motorcycle,<start> A big parade is happening! A police motorcycle stands tall and smile. The sun shines bright and smile as they stand together.<pad>
14,A fluffy cat is on a table. It,<start> A fluffy cat is on a table. It has a big brick and a big smile. The cat looks so cozy and fun!<pad>
15,The orange kitty sits on the table beside,<start> The orange kitty sits on the table beside. It has a shiny sink and some bikes are waiting for the street. It looks like a fun place to play!<pad>
16,The kitty is very funny. It stands in,<start> The kitty is very funny. It stands in a big tree station to sit next to a big store. The sign is so tasty and fun!<pad>
17,The cat is eating its food. It's funny,<start> The cat is eating its food. It's funny street and some are soft bed with bright red bricks. The cat looks so tasty and fun!<pad>
18,A young man is sitting in a small,<start> A young man is sitting in a small with a big smile. The cake is so cool and smile and some are smiling. It looks like a fun place to play!<pad>
19,"The toilet has a big, round light above","<start> The toilet has a big, round light above the street. They are all lined up and smiling and smile. It looks like a fun place to play!<pad>"
20,"In a tiny bathroom, there is a white","<start> In a tiny bathroom, there is a white toilet and a shiny sink. The sink is soft and soft and soft and colorful too! It feels like a fun place to play!<pad>"
21,There are tiny green beads and nuts inside,"<start> There are tiny green beads and nuts inside. They are standing together, like a big book and smile. The sun shines bright and smile!<pad>"
22,A man sits at his desk with a,<start> A man sits at his desk with a big bowl. The sign stands tall and the street sign that says 'TV.' The sun shines bright and smile!<pad>
23,"The bowl has yummy fruit like apples, bananas,","<start> The bowl has yummy fruit like apples, bananas, and the sink is so cool! They are all around them, ready to help them. It looks like a fun place to play!<pad>"
24,"In a big parking lot, two cool motorbikes","<start> In a big parking lot, two cool motorbikes. The sun shines bright and the sidewalk around. The sun shines bright and smile as they stand together!<pad>"
