,Partial,Complete
0,"In a dark basement, there is a white","<start> In a dark basement, there is a white toilet sitting on some steps. Around it, there are broken boards and debris.<pad>"
1,"In a shiny bathroom, the walls sparkle like","<start> In a shiny bathroom, the walls sparkle like magic! There’s a big tree next to a toilet, and plants are growing out of the toilet bowl.<pad>"
2,There is a big table full of yummy,"<start> There is a big table full of yummy treats! There are cookies, cakes, and colorful candies all together. In addition to the treats, there are a couple of bottles on the table. One of the bottles is filled with jelly beans and the other one has a cake in it. The table is set up with a fork and a knife, ready for someone to enjoy the delicious treats.<pad>"
3,Pink cakes and lollipops rest on white,"<start> Pink cakes and lollipops rest on white tables and pink plates. Cake slices have forks beside them. In the background, there's a jar of sprinkles and a vase of flowers.<pad>"
4,The cake is so colorful with chocolate and,"<start> The cake is so colorful with chocolate and white frosting. It has cute polka dots and sprinkles on it. There are two spoons next to the cake, one on the left side and the other in the middle of the image.<pad>"
5,"In a funny bathroom, there are two shiny","<start> In a funny bathroom, there are two shiny toilets side by side. The floor is like a big black and white checkerboard.<pad>"
6,"In a happy green bathroom, there are funny","<start> In a happy green bathroom, there are funny monkeys on the curtain. A shiny sink and a little toilet can be seen in the bathroom.<pad>"
7,The bathroom has a white toilet and a tall,"<start> The bathroom has a white toilet and a tall sink. There's also a shower, but the walls look like they haven't been painted yet.<pad>"
8,"In a shiny bathroom, there is a big","<start> In a shiny bathroom, there is a big toilet bowl sitting on the floor. A tall stall has a shower attached to the wall above it. There is also a sink in the bathroom.<pad>"
9,"There's a man on a shiny, old","<start> There's a man on a shiny, old motorcycle. He wears a long coat and sits very still. The picture is black and white.<pad>"
10,There's a big building with a clock,<start> There's a big building with a clock inside that's tall and pointy. The church has a tall tower that is covered in a white sheet.<pad>
11,The green bowl is on the table.,<start> The green bowl is on the table. It is full of little trees called broccoli. Some broccoli is green and some are dark green.<pad>
12,"There is a big, yummy cake on a","<start> There is a big, yummy cake on a shiny silver plate. It has white frosting and blue sprinkles in the shape of the letter 'F' on it.<pad>"
13,A big parade is happening! A police,<start> A big parade is happening! A police motorcycle zooms by with a shiny car behind it. People are watching the parade from the side of the road.<pad>
14,A fluffy cat is on a table.,"<start> A fluffy cat is on a table. It is sitting next to a bowl of fruit. There are bananas, apples, and oranges in the bowl.<pad>"
15,The orange kitty sits on the table beside,"<start> The orange kitty sits on the table beside a bright bowl. It lays on the table, looking cozy and content.<pad>"
16,The kitty is very funny. It stands in,"<start> The kitty is very funny. It stands in an empty bowl while munching from another one. The dishes are filled with food, and the cat seems to be enjoying its meal.<pad>"
17,The cat is eating its food. It's,<start> The cat is eating its food. It's funny because it's standing inside a bowl while munching. The cat has black and white fur.<pad>
18,A young man is sitting in a small,"<start> A young man is sitting in a small room with a computer. He wears a cozy sweatshirt and looks at the camera. In front of him, there is a keyboard, a mouse, and a cell phone. There are other people in the room, but they are not visible.<pad>"
19,"The toilet has a big, round light above","<start> The toilet has a big, round light above it. Sunlight comes in from a round window in the wall.<pad>"
20,"In a tiny bathroom, there is a white","<start> In a tiny bathroom, there is a white toilet. The roof is slanted, and a bright window lets in natural light.<pad>"
21,There are tiny green beads and nuts inside,<start> There are tiny green beads and nuts inside bamboo pieces. I see scissors next to brussel sprouts and shiny beads. There is a cup on the right side of the image.<pad>
22,A man sits at his desk with a big,"<start> A man sits at his desk with a big, yummy hotdog. He's wearing a blue shirt and working on his computer.<pad>"
23,"The bowl has yummy fruit like apples,","<start> The bowl has yummy fruit like apples, bananas, and oranges. It's sitting on the wooden table. The blue plate is placed in front of the cat. There is a potted plant in the background.<pad>"
24,"In a big parking lot, two cool","<start> In a big parking lot, two cool motorbikes sit next to a shiny car. One bike is blue with yellow flames, and the other is black with orange flames.<pad>"
