,Partial,Complete
0,"In a dark basement, there is a white toilet sitting on some steps. Around it, there are broken boards","<start>In a dark basement, there is a white toilet sitting on some steps. Around it, there are broken boards and a big book with a big smile. The sun is shining, and the sky is blue and shiny. The sun is shining, and the sun shines bright, making everything look special. It feels like a fun place where the water splashes are waiting for someone to have fun to see!<pad>"
1,"In a shiny bathroom, the walls sparkle like magic! There’s a big tree next to a toilet, and plants","<start>In a shiny bathroom, the walls sparkle like magic! There’s a big tree next to a toilet, and plants are so colorful and some colorful books. The cat looks so cool and cool as they are sitting on a soft bed. The sink is soft and soft fur and some cooked and soft fur. It feels like a fun place where you can see the can see the cat see the cat the cake. I wonder what stories the cat taste the cake and what is a fun place!<pad>"
2,"There is a big table full of yummy treats! There are cookies, cakes, and colorful candies all together.","<start>There is a big table full of yummy treats! There are cookies, cakes, and colorful candies all together. The bed is soft and soft fur are some colorful and some are shiny and some shiny signs. The sun is shining, and the sun shines bright and some special. It feels like a fun place where the water splashes are waiting for the beach. I wonder what the ball will go next!<pad>"
3,Pink cakes and lollipops rest on white tables and pink plates. Cake slices have forks beside them.,"<start>Pink cakes and lollipops rest on white tables and pink plates. Cake slices have forks beside them. The sun is shining, and the sky is blue and shiny. The sun is shining, and the sky is blue and shiny. The sun shines bright, and the sun shines bright, making everything look so much fun! I wonder what they are having a great time together!<pad>"
4,The cake is so colorful with chocolate and white frosting. It has cute polka dots and sprinkles on,"<start>The cake is so colorful with chocolate and white frosting. It has cute polka dots and sprinkles on the soft grass. The sun is shining, and the sky is blue and shiny. The sun is shining, and the sky is blue and shiny. The sun shines bright, and the sky is blue and seems happy. I wonder what the ball will go next! Maybe they are having a great time together!<pad>"
5,"In a funny bathroom, there are two shiny toilets side by side. The floor is like a big","<start>In a funny bathroom, there are two shiny toilets side by side. The floor is like a big blanket waiting for someone to go. The counter is soft and smells so good! The counter is soft and soft fur and some cookies are soft and smiles. The sun shines bright, making everything look special. I wonder what the cat is waiting for someone to see the cake and where they are going and want to eat!<pad>"
6,"In a happy green bathroom, there are funny monkeys on the curtain. A shiny sink and a little toilet","<start>In a happy green bathroom, there are funny monkeys on the curtain. A shiny sink and a little toilet that looks very cozy. The bear is so cool and soft fur and some cookies are so cool. The baby is soft and soft fur away, and they look so happy. The sun shines bright, making everything look special. I wonder what they are going to see the can see the sun shines bright and have fun!<pad>"
7,"The bathroom has a white toilet and a tall sink. There's also a shower, but the walls look like","<start>The bathroom has a white toilet and a tall sink. There's also a shower, but the walls look like a big bird. The sun is shining bright, and it looks so cool! The sun shines bright, and the sky is blue and shiny. The sun shines bright, and the sun is shining bright. It feels like a fun place where the water splashes are waiting for the ball to see the ball flying through the warm sun!<pad>"
8,"In a shiny bathroom, there is a big toilet bowl sitting on the floor. A tall stall has a","<start>In a shiny bathroom, there is a big toilet bowl sitting on the floor. A tall stall has a shiny white sink that looks very cozy. The cat is sitting on a soft bed, waiting for someone to go. The cat is sitting on the sidewalk, like a big blanket. The bathroom is so cool and special places to see the cake. It feels like a fun place where the water are waiting for someone to see the cake.<pad>"
9,"There's a man on a shiny, old motorcycle. He wears a long coat and sits very still. The picture","<start>There's a man on a shiny, old motorcycle. He wears a long coat and sits very still. The picture is so cool and sparkly in the sunlight. The sun is shining, and the sun is shining bright. The man is smiling and laughing as they walk on the water. It looks like he is having fun on the water! I wonder what he is thinking about while he is having fun on the water!<pad>"
